KO	gene	gene_name	EC_name	pathway	superpathway
K04041	fbp3	fructose-1,6-bisphosphatase III	EC:3.1.3.11	Pentose phosphate pathway	Carbohydrate metabolism
K00850	pfkA	6-phosphofructokinase 1	EC:2.7.1.11	Pentose phosphate pathway	Carbohydrate metabolism
K16370	pfkB	6-phosphofructokinase 2	EC:2.7.1.11	Pentose phosphate pathway	Carbohydrate metabolism
K21071	pfk	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	EC:2.7.1.11 2.7.1.90	Pentose phosphate pathway	Carbohydrate metabolism
K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase	EC:2.7.1.146 2.7.1.147	Pentose phosphate pathway	Carbohydrate metabolism
K00895	pfp	diphosphate-dependent phosphofructokinase	EC:2.7.1.90	Pentose phosphate pathway	Carbohydrate metabolism
K01051	E3.1.1.11	pectinesterase	EC:3.1.1.11	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22539	PLY	pectate lyase	EC:4.2.2.2	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01728	pel	pectate lyase	EC:4.2.2.2	Pentose and glucuronate interconversions	Carbohydrate metabolism
K19551	pelC	pectate lyase C	EC:4.2.2.2 4.2.2.10	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01731	pelW	pectate disaccharide-lyase	EC:4.2.2.9	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22994	pelX	pectate disaccharide-lyase	EC:4.2.2.9	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01730	ogl	oligogalacturonide lyase	EC:4.2.2.6	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01815	kduI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	EC:5.3.1.17	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	EC:1.1.1.127	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01184	E3.2.1.15	polygalacturonase	EC:3.2.1.15	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22933	lplD	galacturan 1,4-alpha-galacturonidase	EC:3.2.1.67	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01812	uxaC	glucuronate isomerase	EC:5.3.1.12	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00041	uxaB	tagaturonate reductase	EC:1.1.1.58	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01685	uxaA	altronate hydrolase	EC:4.2.1.7	Pentose and glucuronate interconversions	Carbohydrate metabolism
K16849	uxaA1	altronate dehydratase small subunit	EC:4.2.1.7	Pentose and glucuronate interconversions	Carbohydrate metabolism
K16850	uxaA2	altronate dehydratase large subunit	EC:4.2.1.7	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01686	uxuA	mannonate dehydratase	EC:4.2.1.8	Pentose and glucuronate interconversions	Carbohydrate metabolism
K08323	rspA	mannonate dehydratase	EC:4.2.1.8	Pentose and glucuronate interconversions	Carbohydrate metabolism
K08322	rspB	L-gulonate 5-dehydrogenase	EC:1.1.1.380	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00040	uxuB	fructuronate reductase	EC:1.1.1.57	Pentose and glucuronate interconversions	Carbohydrate metabolism
K21619	uxaE	tagaturonate epimerase	EC:5.1.2.7	Pentose and glucuronate interconversions	Carbohydrate metabolism
K18106	GAAA	D-galacturonate reductase	EC:1.1.1.-	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01195	uidA	beta-glucuronidase	EC:3.2.1.31	Pentose and glucuronate interconversions	Carbohydrate metabolism
K16190	GLCAK	glucuronokinase	EC:2.7.1.43	Pentose and glucuronate interconversions	Carbohydrate metabolism
K12447	USP	UDP-sugar pyrophosphorylase	EC:2.7.7.64	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00012	UGDH	UDPglucose 6-dehydrogenase	EC:1.1.1.22	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00963	UGP2	UTP--glucose-1-phosphate uridylyltransferase	EC:2.7.7.9	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00002	AKR1A1	alcohol dehydrogenase (NADP+)	EC:1.1.1.2	Pentose and glucuronate interconversions	Carbohydrate metabolism
K13247	CRYL1	L-gulonate 3-dehydrogenase	EC:1.1.1.45	Pentose and glucuronate interconversions	Carbohydrate metabolism
K08092	dlgD	3-dehydro-L-gulonate 2-dehydrogenase	EC:1.1.1.130	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00880	lyxK	L-xylulokinase	EC:2.7.1.53	Pentose and glucuronate interconversions	Carbohydrate metabolism
K03078	ulaD	3-dehydro-L-gulonate-6-phosphate decarboxylase	EC:4.1.1.85	Pentose and glucuronate interconversions	Carbohydrate metabolism
K03079	ulaE	L-ribulose-5-phosphate 3-epimerase	EC:5.1.3.22	Pentose and glucuronate interconversions	Carbohydrate metabolism
K03077	araD	L-ribulose-5-phosphate 4-epimerase	EC:5.1.3.4	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01783	rpe	ribulose-phosphate 3-epimerase	EC:5.1.3.1	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01804	araA	L-arabinose isomerase	EC:5.3.1.4	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00853	araB	L-ribulokinase	EC:2.7.1.16	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00854	xylB	xylulokinase	EC:2.7.1.17	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01805	xylA	xylose isomerase	EC:5.3.1.5	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00594	xyoA	alditol oxidase	EC:1.1.3.41	Pentose and glucuronate interconversions	Carbohydrate metabolism
K17743	XR	D-xylose reductase	EC:1.1.1.307	Pentose and glucuronate interconversions	Carbohydrate metabolism
K03331	DCXR	L-xylulose reductase	EC:1.1.1.10	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01820	rhaA	L-rhamnose isomerase / sugar isomerase	EC:5.3.1.14 5.3.1.-	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00848	rhaB	rhamnulokinase	EC:2.7.1.5	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01629	rhaD	rhamnulose-1-phosphate aldolase	EC:4.1.2.19	Pentose and glucuronate interconversions	Carbohydrate metabolism
K17818	ARD1	D-arabinitol dehydrogenase (NADP+)	EC:1.1.1.287	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00007	dalD	D-arabinitol 4-dehydrogenase	EC:1.1.1.11	Pentose and glucuronate interconversions	Carbohydrate metabolism
K09988	lyxA	D-lyxose ketol-isomerase	EC:5.3.1.15	Pentose and glucuronate interconversions	Carbohydrate metabolism
K05351	E1.1.1.9	D-xylulose reductase	EC:1.1.1.9	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00008	SORD	L-iditol 2-dehydrogenase	EC:1.1.1.14	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22185	xylB	D-xylose 1-dehydrogenase	EC:1.1.1.175	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	EC:1.3.1.20 1.1.1.179	Pentose and glucuronate interconversions	Carbohydrate metabolism
K14273	xdh	D-xylose 1-dehydrogenase (NADP+)	EC:1.1.1.179	Pentose and glucuronate interconversions	Carbohydrate metabolism
K14274	xylC	xylono-1,5-lactonase	EC:3.1.1.110	Pentose and glucuronate interconversions	Carbohydrate metabolism
K14275	xad	D-xylonate dehydratase	EC:4.2.1.82	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22186	xylD	xylonate dehydratase	EC:4.2.1.82	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22396	yjhG	xylonate dehydratase	EC:4.2.1.82	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22397	yjhH	2-dehydro-3-deoxy-D-pentonate aldolase	EC:4.1.2.28	Pentose and glucuronate interconversions	Carbohydrate metabolism
K14259	kdxD	2-dehydro-3-deoxy-D-arabinonate dehydratase	EC:4.2.1.141	Pentose and glucuronate interconversions	Carbohydrate metabolism
K13877	aldH	2,5-dioxopentanoate dehydrogenase	EC:1.2.1.26	Pentose and glucuronate interconversions	Carbohydrate metabolism
K19588	dopDH	2,5-dioxopentanoate dehydrogenase	EC:1.2.1.26	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22187	xylA	alpha-ketoglutaric semialdehyde dehydrogenase	EC:1.2.1.-	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00875	rbtK	D-ribulokinase	EC:2.7.1.47	Pentose and glucuronate interconversions	Carbohydrate metabolism
K22935	XK1	D-ribulokinase	EC:2.7.1.47	Pentose and glucuronate interconversions	Carbohydrate metabolism
K00039	rbtD	ribitol 2-dehydrogenase	EC:1.1.1.56	Pentose and glucuronate interconversions	Carbohydrate metabolism
K21680	E1.1.1.137	ribulose-5-phosphate 2-dehydrogenase	EC:1.1.1.137	Pentose and glucuronate interconversions	Carbohydrate metabolism
K05352	tarJ	ribitol-5-phosphate 2-dehydrogenase (NADP+)	EC:1.1.1.405	Pentose and glucuronate interconversions	Carbohydrate metabolism
K21681	bcs1	ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase	EC:1.1.1.405 2.7.7.40	Pentose and glucuronate interconversions	Carbohydrate metabolism
K21030	tarI	D-ribitol-5-phosphate cytidylyltransferase	EC:2.7.7.40	Pentose and glucuronate interconversions	Carbohydrate metabolism
K01218	gmuG	mannan endo-1,4-beta-mannosidase	EC:3.2.1.78	Fructose and mannose metabolism	Carbohydrate metabolism
K19355	MAN	mannan endo-1,4-beta-mannosidase	EC:3.2.1.78	Fructose and mannose metabolism	Carbohydrate metabolism
K00847	E2.7.1.4	fructokinase	EC:2.7.1.4	Fructose and mannose metabolism	Carbohydrate metabolism
K01809	manA	mannose-6-phosphate isomerase	EC:5.3.1.8	Fructose and mannose metabolism	Carbohydrate metabolism
K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase	EC:5.3.1.9 5.3.1.8	Fructose and mannose metabolism	Carbohydrate metabolism
K16011	algA	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase	EC:2.7.7.13 5.3.1.8	Fructose and mannose metabolism	Carbohydrate metabolism
K17497	PMM	phosphomannomutase	EC:5.4.2.8	Fructose and mannose metabolism	Carbohydrate metabolism
K01840	manB	phosphomannomutase	EC:5.4.2.8	Fructose and mannose metabolism	Carbohydrate metabolism
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	EC:5.4.2.8 5.4.2.2	Fructose and mannose metabolism	Carbohydrate metabolism
K16881	K16881	mannose-1-phosphate guanylyltransferase / phosphomannomutase	EC:2.7.7.13 5.4.2.8	Fructose and mannose metabolism	Carbohydrate metabolism
K00971	manC	mannose-1-phosphate guanylyltransferase	EC:2.7.7.13	Fructose and mannose metabolism	Carbohydrate metabolism
K00966	GMPP	mannose-1-phosphate guanylyltransferase	EC:2.7.7.13	Fructose and mannose metabolism	Carbohydrate metabolism
K01711	gmd	GDPmannose 4,6-dehydratase	EC:4.2.1.47	Fructose and mannose metabolism	Carbohydrate metabolism
K02377	TSTA3	GDP-L-fucose synthase	EC:1.1.1.271	Fructose and mannose metabolism	Carbohydrate metabolism
K18447	NUDX14	ADP-sugar diphosphatase	EC:3.6.1.21	Fructose and mannose metabolism	Carbohydrate metabolism
K01818	fucI	L-fucose/D-arabinose isomerase	EC:5.3.1.25 5.3.1.3	Fructose and mannose metabolism	Carbohydrate metabolism
K00879	fucK	L-fuculokinase	EC:2.7.1.51	Fructose and mannose metabolism	Carbohydrate metabolism
K01628	fucA	L-fuculose-phosphate aldolase	EC:4.1.2.17	Fructose and mannose metabolism	Carbohydrate metabolism
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase	EC:1.1.1.122	Fructose and mannose metabolism	Carbohydrate metabolism
K18333	K18333	L-fucose dehydrogenase	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K07046	K07046	L-fuconolactonase	EC:3.1.1.-	Fructose and mannose metabolism	Carbohydrate metabolism
K18334	fucD	L-fuconate dehydratase	EC:4.2.1.68	Fructose and mannose metabolism	Carbohydrate metabolism
K18335	K18335	2-keto-3-deoxy-L-fuconate dehydrogenase	EC:1.1.1.-	Fructose and mannose metabolism	Carbohydrate metabolism
K18336	K18336	2,4-diketo-3-deoxy-L-fuconate hydrolase	EC:3.7.1.-	Fructose and mannose metabolism	Carbohydrate metabolism
K18337	LRA1	L-rhamnose 1-dehydrogenase	EC:1.1.1.378 1.1.1.377 1.1.1.173	Fructose and mannose metabolism	Carbohydrate metabolism
K12661	LRA3	L-rhamnonate dehydratase	EC:4.2.1.90	Fructose and mannose metabolism	Carbohydrate metabolism
K12660	rhmA	2-dehydro-3-deoxy-L-rhamnonate aldolase	EC:4.1.2.53	Fructose and mannose metabolism	Carbohydrate metabolism
K01813	rhaA	L-rhamnose isomerase	EC:5.3.1.14	Fructose and mannose metabolism	Carbohydrate metabolism
K21883	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	EC:1.1.1.401	Fructose and mannose metabolism	Carbohydrate metabolism
K01820	rhaA	L-rhamnose isomerase / sugar isomerase	EC:5.3.1.14 5.3.1.-	Fructose and mannose metabolism	Carbohydrate metabolism
K00848	rhaB	rhamnulokinase	EC:2.7.1.5	Fructose and mannose metabolism	Carbohydrate metabolism
K01629	rhaD	rhamnulose-1-phosphate aldolase	EC:4.1.2.19	Fructose and mannose metabolism	Carbohydrate metabolism
K07026	E3.1.3.70	mannosyl-3-phosphoglycerate phosphatase	EC:3.1.3.70	Fructose and mannose metabolism	Carbohydrate metabolism
K00844	HK	hexokinase	EC:2.7.1.1	Fructose and mannose metabolism	Carbohydrate metabolism
K00850	pfkA	6-phosphofructokinase 1	EC:2.7.1.11	Fructose and mannose metabolism	Carbohydrate metabolism
K16370	pfkB	6-phosphofructokinase 2	EC:2.7.1.11	Fructose and mannose metabolism	Carbohydrate metabolism
K21071	pfk	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	EC:2.7.1.11 2.7.1.90	Fructose and mannose metabolism	Carbohydrate metabolism
K00895	pfp	diphosphate-dependent phosphofructokinase	EC:2.7.1.90	Fructose and mannose metabolism	Carbohydrate metabolism
K03841	FBP	fructose-1,6-bisphosphatase I	EC:3.1.3.11	Fructose and mannose metabolism	Carbohydrate metabolism
K02446	glpX	fructose-1,6-bisphosphatase II	EC:3.1.3.11	Fructose and mannose metabolism	Carbohydrate metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Fructose and mannose metabolism	Carbohydrate metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Fructose and mannose metabolism	Carbohydrate metabolism
K04041	fbp3	fructose-1,6-bisphosphatase III	EC:3.1.3.11	Fructose and mannose metabolism	Carbohydrate metabolism
K01103	PFKFB3	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3	EC:2.7.1.105 3.1.3.46	Fructose and mannose metabolism	Carbohydrate metabolism
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase	EC:1.1.1.17	Fructose and mannose metabolism	Carbohydrate metabolism
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase	EC:1.1.1.140	Fructose and mannose metabolism	Carbohydrate metabolism
K19956	sorE	L-sorbose 1-phosphate reductase	EC:1.1.1.-	Fructose and mannose metabolism	Carbohydrate metabolism
K00846	KHK	ketohexokinase	EC:2.7.1.3	Fructose and mannose metabolism	Carbohydrate metabolism
K00882	fruK	1-phosphofructokinase	EC:2.7.1.56	Fructose and mannose metabolism	Carbohydrate metabolism
K00008	SORD	L-iditol 2-dehydrogenase	EC:1.1.1.14	Fructose and mannose metabolism	Carbohydrate metabolism
K00594	xyoA	alditol oxidase	EC:1.1.3.41	Fructose and mannose metabolism	Carbohydrate metabolism
K01805	xylA	xylose isomerase	EC:5.3.1.5	Fructose and mannose metabolism	Carbohydrate metabolism
K08261	E1.1.99.21	D-sorbitol dehydrogenase (acceptor)	EC:1.1.99.21	Fructose and mannose metabolism	Carbohydrate metabolism
K17742	SOU1	sorbose reductase	EC:1.1.1.289	Fructose and mannose metabolism	Carbohydrate metabolism
K19633	sr	sorbose reductase	EC:1.1.1.289	Fructose and mannose metabolism	Carbohydrate metabolism
K00045	E1.1.1.67	mannitol 2-dehydrogenase	EC:1.1.1.67	Fructose and mannose metabolism	Carbohydrate metabolism
K00007	dalD	D-arabinitol 4-dehydrogenase	EC:1.1.1.11	Fructose and mannose metabolism	Carbohydrate metabolism
K00066	algD	GDP-mannose 6-dehydrogenase	EC:1.1.1.132	Fructose and mannose metabolism	Carbohydrate metabolism
K19290	alg8	mannuronan synthase	EC:2.4.1.33	Fructose and mannose metabolism	Carbohydrate metabolism
K19291	alg44	mannuronan synthase	EC:2.4.1.33	Fructose and mannose metabolism	Carbohydrate metabolism
K01795	algG	mannuronan 5-epimerase	EC:5.1.3.37	Fructose and mannose metabolism	Carbohydrate metabolism
K01729	algL	poly(beta-D-mannuronate) lyase	EC:4.2.2.3	Fructose and mannose metabolism	Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Fructose and mannose metabolism	Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Fructose and mannose metabolism	Carbohydrate metabolism
K01624	FBA	fructose-bisphosphate aldolase, class II	EC:4.1.2.13	Fructose and mannose metabolism	Carbohydrate metabolism
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	EC:4.1.2.13 2.2.1.11	Fructose and mannose metabolism	Carbohydrate metabolism
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	EC:4.1.2.13 2.2.1.10	Fructose and mannose metabolism	Carbohydrate metabolism
K01803	TPI	triosephosphate isomerase (TIM)	EC:5.3.1.1	Fructose and mannose metabolism	Carbohydrate metabolism
K00863	DAK	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)	EC:2.7.1.28 2.7.1.29 4.6.1.15	Fructose and mannose metabolism	Carbohydrate metabolism
K03332	fruA	fructan beta-fructosidase	EC:3.2.1.80	Fructose and mannose metabolism	Carbohydrate metabolism
K22252	tld	GDP-6-deoxy-D-talose 4-dehydrogenase	EC:1.1.1.135	Fructose and mannose metabolism	Carbohydrate metabolism
K15856	rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase	EC:1.1.1.281	Fructose and mannose metabolism	Carbohydrate metabolism
K00881	alsK	allose kinase	EC:2.7.1.55	Fructose and mannose metabolism	Carbohydrate metabolism
K01808	rpiB	ribose 5-phosphate isomerase B	EC:5.3.1.6	Fructose and mannose metabolism	Carbohydrate metabolism
K17195	alsE	D-allulose-6-phosphate 3-epimerase	EC:5.1.3.-	Fructose and mannose metabolism	Carbohydrate metabolism
K02768	ptsP	fructose PTS system EIIA component	EC:2.7.1.202	Fructose and mannose metabolism	Carbohydrate metabolism
K02769	fruAb	fructose PTS system EIIB component	EC:2.7.1.202	Fructose and mannose metabolism	Carbohydrate metabolism
K02770	fruA	fructose PTS system EIIBC or EIIC component	EC:2.7.1.202	Fructose and mannose metabolism	Carbohydrate metabolism
K11194	levD	fructose PTS system EIIA component	EC:2.7.1.202	Fructose and mannose metabolism	Carbohydrate metabolism
K11195	levE	fructose PTS system EIIB component	EC:2.7.1.202	Fructose and mannose metabolism	Carbohydrate metabolism
K11196	levF	fructose PTS system EIIC component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02771	levG	fructose PTS system EIID component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02793	manXa	mannose PTS system EIIA component	EC:2.7.1.191	Fructose and mannose metabolism	Carbohydrate metabolism
K02794	manX	mannose PTS system EIIAB component	EC:2.7.1.191	Fructose and mannose metabolism	Carbohydrate metabolism
K02795	manY	mannose PTS system EIIC component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02796	manZ	mannose PTS system EIID component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02798	cmtB	mannitol PTS system EIIA component	EC:2.7.1.197	Fructose and mannose metabolism	Carbohydrate metabolism
K02800	mtlA	mannitol PTS system EIICBA or EIICB component	EC:2.7.1.197	Fructose and mannose metabolism	Carbohydrate metabolism
K02781	srlB	glucitol/sorbitol PTS system EIIA component	EC:2.7.1.198	Fructose and mannose metabolism	Carbohydrate metabolism
K02782	srlE	glucitol/sorbitol PTS system EIIB component	EC:2.7.1.198	Fructose and mannose metabolism	Carbohydrate metabolism
K02783	srlA	glucitol/sorbitol PTS system EIIC component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02812	sorF	sorbose PTS system EIIA component	EC:2.7.1.206	Fructose and mannose metabolism	Carbohydrate metabolism
K02813	sorB	sorbose PTS system EIIB component	EC:2.7.1.206	Fructose and mannose metabolism	Carbohydrate metabolism
K02814	sorA	sorbose PTS system EIIC component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K02815	sorM	sorbose PTS system EIID component	NA	Fructose and mannose metabolism	Carbohydrate metabolism
K01785	galM	aldose 1-epimerase	EC:5.1.3.3	Galactose metabolism	Carbohydrate metabolism
K00849	galK	galactokinase	EC:2.7.1.6	Galactose metabolism	Carbohydrate metabolism
K00965	galT	UDPglucose--hexose-1-phosphate uridylyltransferase	EC:2.7.7.12	Galactose metabolism	Carbohydrate metabolism
K01784	galE	UDP-glucose 4-epimerase	EC:5.1.3.2	Galactose metabolism	Carbohydrate metabolism
K17716	capD	UDP-glucose 4-epimerase	EC:5.1.3.2	Galactose metabolism	Carbohydrate metabolism
K00963	UGP2	UTP--glucose-1-phosphate uridylyltransferase	EC:2.7.7.9	Galactose metabolism	Carbohydrate metabolism
K01835	pgm	phosphoglucomutase	EC:5.4.2.2	Galactose metabolism	Carbohydrate metabolism
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	EC:5.4.2.8 5.4.2.2	Galactose metabolism	Carbohydrate metabolism
K00844	HK	hexokinase	EC:2.7.1.1	Galactose metabolism	Carbohydrate metabolism
K00845	glk	glucokinase	EC:2.7.1.2	Galactose metabolism	Carbohydrate metabolism
K01190	lacZ	beta-galactosidase	EC:3.2.1.23	Galactose metabolism	Carbohydrate metabolism
K12111	ebgA	evolved beta-galactosidase subunit alpha	EC:3.2.1.23	Galactose metabolism	Carbohydrate metabolism
